Incident Zip,count
11221,6606
10025,6446
11216,6270
11238,6037
11233,4428
11385,4278
11226,4264
11237,4075
11215,3900
10467,3899
10027,3805
11207,3760
11206,3653
11211,3634
10456,3626
10026,3600
10024,3503
11213,3299
10031,3207
10458,3186
10457,3098
11217,2953
10468,2808
11225,2770
10029,2746
11205,2661
10472,2660
10453,2623
11222,2582
10002,2464
10452,2459
10009,2454
11377,2379
11208,2316
10128,2298
10459,2242
11203,2224
10462,2208
10032,2188
11212,2077
10460,2069
10033,2016
10023,2001
11201,1949
10030,1941
10463,1940
11220,1886
11235,1877
10028,1831
10455,1823
10034,1799
10451,1775
10035,1742
10003,1680
11218,1657
10014,1579
11231,1562
10011,1520
11368,1449
11209,1382
11101,1372
10469,1363
10314,1345
10013,1326
11373,1312
11230,1286
10454,1283
10040,1276
11219,1244
10306,1186
11105,1186
11236,1186
11372,1156
11103,1155
10312,1148
11435,1140
10466,1134
11249,1108
10019,1104
11234,1094
10012,1077
10036,1073
11214,1060
11433,1037
10301,1015
10016,1010
10021,986
11223,966
11379,965
10039,955
11378,947
11210,915
10001,913
10037,898
10075,886
11374,874
11432,871
10305,865
11106,842
10310,822
10473,821
10474,812
10304,802
11412,792
11232,789
11434,787
10461,782
11102,764
11375,753
11355,750
11104,736
11417,736
11204,725
11224,701
11420,682
11229,670
11419,664
11357,660
11691,640
10303,639
10038,629
10022,625
10010,613
10470,587
10465,582
10302,579
10308,574
11228,571
11354,563
11418,555
10065,509
11369,500
11436,472
11413,464
0,424
11416,420
10309,415
10007,414
11370,399
10471,393
11414,383
11367,377
11361,373
11421,369
11358,362
11429,345
11423,311
10018,306
10017,228
11694,210
11356,203
11365,197
11426,189
11422,187
10307,178
11411,175
10006,168
11427,161
11692,130
11364,127
11415,126
10475,125
11428,115
11693,111
10005,106
10004,103
10464,103
11366,95
11360,95
11001,89
11362,78
11239,73
11004,62
10069,56
11363,39
10280,35
10282,32
83,26
11109,21
10162,20
11430,18
10044,17
11040,15
10000,8
11697,4
12345,4
10112,4
10020,4
10041,3
11202,1
10045,1
10178,1
10278,1
100354,1
11695,1
11241,1
10119,1
11371,1
10048,1
10271,1
10118,1
1123,1
10151,1
10111,1
11242,1
10174,1
10120,1
10121,1
10115,1
